"asset_name","short_description","long_description","dataset","therapeutic_area","type","source_url","source_url_provider"
"Lynparza Ovarian Cancer Market Definition","Codes to identify OC patients and their attributes from claims data","Contains list of diagnosis codes for identifying OC and metastatic patients, CPT codes for BRCA/HRD testing, and NDC+J codes for treatments ","Claims","Oncology","MARKET_DEFINITIONS","https://collaboration.merck.com/:x:/r/sites/onc_ds/Shared%20Documents/Projects/AZ/00_MarketKnowledge/Market_Definitions_V2.0_Ovarian%20Cancer.xlsx?d=wf020f89f00694419954a4c98efb976e4&csf=1&web=1&e=dEKFc0","SHAREPOINT"
"Lynparza Prostate Cancer Market Definition","Codes to identify Prostate patients and their attributes from claims data","Contains list of diagnosis codes for identifying PC and metastatic patients, CPT codes for BRCA/HRD testing, and NDC+J codes for treatments ","Claims","Oncology","MARKET_DEFINITIONS","https://collaboration.merck.com/:x:/r/sites/onc_ds/Shared%20Documents/Projects/AZ/00_MarketKnowledge/Market_Definitions_V2.0_Prostate%20Cancer.xlsx?d=wf33d507297b24cc88ff42b01e3cf5a67&csf=1&web=1&e=tKeYAd","SHAREPOINT"
"Lynparza Breast Cancer Market Definition","Codes to identify BC patients and their attributes from claims data","Contains list of diagnosis codes for identifying BC and metastatic patients, CPT codes for BRCA/HRD testing, and NDC+J codes for treatments ","Claims","Oncology","MARKET_DEFINITIONS","https://collaboration.merck.com/:x:/r/sites/onc_ds/Shared%20Documents/Projects/AZ/00_MarketKnowledge/Market_Definitions_V2.0_Breast%20Cancer.xlsx?d=wb3b9b4f098b54b96a37ba4e391fc7ab8&csf=1&web=1&e=BzGGlS","SHAREPOINT"
"HCP Affiliation information using NPI","Python code to pull affiliation information for HCP using apportion master table","Code can be used to get - 
1. HCP Party ID from HCP NPI
2. Corporate Parent party id to which HCP is affiliated to
3. Facility party ids to which HCP is affiliated to
4. Academic vs community affiliation for facilities to HCP","HCP Data","Oncology","REUSABLE_CODE_UTILITIES","https://stash.merck.com/projects/DSON/repos/hcp_affiliation/browse","BIT_BUCKET"
"Openai API Python Connectors -Examples ","Code Snippet to access ChatGPT and other Openai tools through Python","1. Connects to Openai using API Key
2. Code Snippets to pass query, data or prompts through Openai models","Source Agnostic","PAN TA","REUSABLE_CODE_UTILITIES","https://collaboration.merck.com/:u:/r/sites/Data_Dig_Delivery/Shared%20Documents/General/Reusable%20CARE%20Assets/ChatGPT_Jupyter_Use_Cases.ipynb?csf=1&web=1&e=lnbb3s","SHAREPOINT"
"RCC RWD rulebook","Codes and rules used for analysis using secondary data in RCC (adjuvant and advanced)","Provides needed ICD, CPT, J, NCD code related to RCC in secondary data as well as rules on regimen hierarchy, LoT, met vs nonmet status, and adjuvant modelling. ","Source Agnostic","Oncology","MARKET_DEFINITIONS","https://collaboration.merck.com/:x:/r/sites/onc_ds/Shared%20Documents/General/Knowledge%20repo/TA%20Knowledge/RCC/RCC%20Patient%20Journey%20Playbook.xlsx?d=w4d47277865894291941e73c3a2f0b70d&csf=1&web=1&e=O23HCf","SHAREPOINT"
"Market Basket for Vaccines","Market basket that can be used in Truven, Optum or any other PLD dataset for Vaccine","It defines the appropriate CPT or NDC code for each of adult and pediatric vaccines","Claims - Truven","Vaccines","MARKET_DEFINITIONS","https://share.merck.com/display/CAS/Reusable+Assets","CONFLUENCE"
"Links to various vaccine dashboards","On this confluence page please find links to various spotfire dashboards used in vaccines
","Following asset are used 
Pneumococcal Vaccines Weekly Claims Tracker

G9 SDOH Analysis

G9 Rural vs Urban County Vaccination and Cancer Rate Dashboard","Claims - Komodo","Vaccines","DASHBOARDS_&_REPORTS","https://share.merck.com/display/CAS/Dashboards%2C+Views%2C+Reports","CONFLUENCE"
"mCRPC Patient Identification Proxy Rules","Methodology to identify mCRPC patients in claims data","mCRPC capture in IQVIA claims using only ICD code (Z19.2) is highly understated, highlighting the need for proxy rules to identify mCRPC patients. Attached framework is utilized to identify mCRPC patients in IQVIA claims data. Starting cohort for the analysis are patients diagnosed with metastatic Prostate Cancer.","Claims – IQVIA","Oncology","METHODOLOGIES_&_FRAMEWORKS","https://collaboration.merck.com/:p:/r/sites/onc_ds/Shared%20Documents/Projects/AZ/Prostate/Aspect_Ratio/202211_DSO508_Line%20of%20therapy%20Analysis/Output/Deck/202304_mCRPCRules_Abridged.pptx?d=w7ac6b80b15a24f6da7491deb0f93a13a&csf=1&web=1&e=Tm7UBj","SHAREPOINT"
"BRCA and HRD Testing Codes","List of CPT codes to identify HRD and BRCA testing in claims","These CPT codes can be utilized to find if a patient had HRD or BRCA testing. ","Claims","Oncology","MARKET_DEFINITIONS","https://collaboration.merck.com/:x:/r/sites/onc_ds/Shared%20Documents/Projects/AZ/Ovarian/202302_DSO638_HeadroomAnalysis/Inputs/BRCA_HRD_Codes_OC_Headroom.xlsx?d=w0af404b659a5449c87bdeaa6b71fea15&csf=1&web=1&e=iktRq0","SHAREPOINT"
